Feature,Importance,Std
f13,0.1310666666666667,0.0029986663702386233
f05,0.09453333333333333,0.0038426842470104376
f28,0.05968000000000001,0.003051673493529611
f12,0.046026666666666674,0.0015875067803879717
f15,0.044853333333333335,0.0031185181666226526
f01,0.04458666666666666,0.0029207000682865375
f18,0.03813333333333333,0.0023611673195923994
f10,0.036906666666666664,0.002797332062281251
f11,0.02426666666666666,0.0020203410053201013
f17,0.023173333333333334,0.0017300481688862358
f27,0.020666666666666656,0.0019857268470540087
f07,0.01941333333333335,0.0015169560163549854
f06,0.01903999999999999,0.0019384300635078542
f22,0.007866666666666678,0.0011577756451249428
f25,0.006933333333333336,0.001118729438048139
f03,0.0024800000000000043,0.0014012058299114156
f16,0.000746666666666651,0.0006510162995057949
f09,0.00021333333333334314,0.00044301993935564606
f08,-5.333333333332746e-05,0.0007892612579706102
f26,-0.00013333333333332976,0.0008022191443461912
f14,-0.00013333333333332976,0.0007751702321999162
f20,-0.00029333333333335653,0.0006016274225428572
f21,-0.00040000000000002257,0.00048074017006188006
f04,-0.0004266666666666863,0.0006104279009205145
f24,-0.00048000000000002484,0.00037333333333335885
f02,-0.0005066666666666775,0.0006999682532483751
f23,-0.001253333333333362,0.00044701478971307274
f19,-0.0017599999999999949,0.0007561305002004155
